[ 06 Elements of Mathematics] - Functions of a Real Variable.pdf 	 515.8  	 Science/Mathematics/Analysis/Functions Of A Real Variable_ Elementary Theory - Philip G. Spain, Nicolas Bourbaki
[ 07 Elements of Mathematics] - Topological Vector Spaces.pdf 	 510.9  	 Science/Mathematics/Mathematics/Elements Of The History Of Mathematics - J. D. P. Meldrum, Nicolas Bourbaki
[ 08 Elements of Mathematics] - Integration - Ch 1 to 6.pdf 	 510  	 Science/Mathematics/Mathematics/Elements Of Mathematics_ 1. Chapters 1 - 6 / Transl. By Sterling K. Berberian - Nicolas Bourbaki
Al-tafsir Al-kabir 	 297.1226 : Religion/Other religions/Islam, Bábism & Bahá'í Faith/The Great Exegesis =_ Al-Tafsīr Al-Kabīr  	 Volume I,. The Fātiḥa - Muḥammad Ibn-ʿUmar 1149-1210 Faḫr-ad-Dīn ar-Rāzī
A Mathematicians Apology 	 510  	 Science/Mathematics/Mathematics/A Mathematician'S Apology, - Godfrey Harold Hardy, C. P Snow
A new kind of Science 	 500  	 Science/Science/Natural sciences & mathematics/A New Kind Of Science - Stephen Wolfram
Bible and Qur'an - Essays in Scriptural Intertextuality 	 220.6  	 Religion/The Bible/Bible/Bible And Qurʼān_ Essays In Scriptural Intertextuality - John C. Reeves
Concepts of Modern Physics 	 539  	 Science/Physics/Modern physics/Concepts Of Modern Physics - Arthur Beiser
Cosmographia 	 913  	 History & geography/Geography & travel/Geography of & travel in ancient world/Pomponius Mela'S Description Of The World - A. Silberman, F. E. Romer, Pomponius Mela, Karl Frick
Darwins camera art and photography in the theory of evolution 	 704.9495  	 Arts & recreation/Arts/Special topics in fine & decorative arts/Darwin'S Camera_ Art And Photography In The Theory Of Evolution - Phillip Prodger
Darwins Notebooks, 1836-1844_ Geology, Transmutation of Species, Metaphysical Enquiries 	 575.0162  	 Science/Life sciences; biology/Specific parts of & systems in plants/Charles Darwin'S Notebooks, 1836-1844_ Geology, Transmutation Of Species, Metaphysical Enquiries - Charles Darwin
Forbidden Sexual Behavior and Morality 	 301.4243  	 Social sciences/Social sciences, sociology & anthropology/Sociology & anthropology/Forbidden Sexual Behavior And Morality_ An Objective Re-Examination Of Perverse Sex Practices In Different Cultures - Robert E. L. Masters
Game, Set and Math 	 793.74  	 Arts & recreation/Sports, games & entertainment/Indoor games & amusements/Game, Set, And Math_ Enigmas And Conundrums - Ian Stewart
Geological Observations on South America 	 509  	 Science/Science/Historical, geographic & persons treatment/Geological Observations On South America_ Being The Third Part Of The Geology Of The Voyage Of The Beagle, Under The Command Of Capt. Fitzroy, R.N. During The Years 1832 To 1836 - Charles Darwin, Bern Dibner, Edward Forbes, George Brettingham Sowerby
