Aboriginal 	 971.200497  	 History & geography/History of North America/Canada/Clearing The Plains_ Disease, Politics Of Starvation, And The Loss Of Aboriginal Life - James W. Daschuk1961-  (James William)
Advanced Data Structures 	 005.1  	 Computer science, information & general works/Computer science, knowledge & systems/Computer programming, programs & data/Advanced Data Structures - Peter Brass
A File Comparison Program 	 510.785  	 Science/Mathematics/Mathematics/A File Comparison Program - Webb Miller
A Gateway To Sindarin 	 499.99  	 Language/Other languages/Austronesian & other languages/A Gateway To Sindarin_ A Grammar Of An Elvish Language From J.R.R. Tolkien'S Lord Of The Rings - David Salo
A History of the English Language 	 420.9  	 Language/English & Old English languages/English & Old English/A History Of The English Language - Yongliang Pan, Albert C. Baugh1891-1981  (Albert Croll), Thomas Cable
Algorithms and theory of computation handbook 	 511.3  	 Science/Mathematics/General principles of mathematics/Algorithms And Theory Of Computation Handbook - Mikhail J. Atallah, Marina Blanton
Algorithms for Programmers 	 005.133  	 Computer science, information & general works/Computer science, knowledge & systems/Computer programming, programs & data/Practical Algorithms For Programmers - Andrew Binstock, John Rex
Al-Kitaab fii Taallum al-Arabiyya Part 1 	 492.782421 : Language/Other languages/Afro-Asiatic languages; Semitic languages/Al-Kitaab Fii Taʻallum Al-ʻArabiyya =_ A Textbook For Beginning Arabic  	 Part One - Kristen Brustad
A Mathematical Theory of Communication 	 621.381  	 Technology/Engineering/Applied physics/The Mathematical Theory Of Communication - Claude Elwood Shannon, Warren Weaver
A Nahuatl-English Dictionary 	 897.4  	 Literature/Other literatures/North American native literatures/A Nahuatl-English Dictionary And Concordance To The Cantares Mexicanos_ With An Analytic Transcription And Grammatical Notes - John Bierhorst
Analysing sentences 	 425  	 Language/English & Old English languages/English grammar/Analysing Sentences_ An Introduction To English Syntax - Noel Burton-Roberts
An Introduction to English Phonology 	 421.5  	 Language/English & Old English languages/English writing system & phonology/An Introduction To English Phonology - April M. S. McMahon
An Introduction to Sociolinguistics 	 306.44  	 Social sciences/Social sciences, sociology & anthropology/Culture & institutions/An Introduction To Sociolinguistics - Ronald Wardhaugh, Janet M. Fuller
Anishinaabemowin 	 897.333  	 Literature/Other literatures/North American native literatures/Weweni_ Poems In Anishinaabemowin And English By Margaret Noodin - Margaret Noodin
arabic calligraphy 	 745.619927  	 Arts & recreation/Drawing & decorative arts/Decorative arts/The Art Of Arabic Calligraphy - Yousif Mahmud Ghulam
Arabic-Handwriting 	 492.7834  	 Language/Other languages/Afro-Asiatic languages; Semitic languages/Gateway To Arabic_ Book 6 - Imran Hamza Alawiye
Arabic-Hippocrene 	 492.73  	 Language/Other languages/Afro-Asiatic languages; Semitic languages/Arabic-English English-Arabic_ Hippocrene Standard Dictionary - John Wortabet
Arabic-Script 	 492.711096  	 Language/Other languages/Afro-Asiatic languages; Semitic languages/The Arabic Script In Africa_ Studies In The Use Of A Writing System - Kees Versteegh, Meikal Mumin
Arabiyyat Al-Naas Part One 	 492.782421  	 Language/Other languages/Afro-Asiatic languages; Semitic languages/Arabiyyat Al-Naas_ Part One - Hanada Al-Masri, Munther Abdullatif Younes
Arabiyyat Al-Naas Part Two 	 492.782421  	 Language/Other languages/Afro-Asiatic languages; Semitic languages/Arabiyyat Al-Naas_ Part One - Hanada Al-Masri, Munther Abdullatif Younes
Arrernte 	 305.899915  	 Social sciences/Social sciences, sociology & anthropology/Social groups/Arrernte Present, Arrernte Past_ Invasion, Violence, And Imagination In Indigenous Central Australia - Diane J. Austin-Broos
ASL-demystified 	 419.7  	 Language/Linguistics/Sign languages/American Sign Language Demystified - Kristin J. Mulrooney
ASL-dictionary 	 419.7  	 Language/Linguistics/Sign languages/Basic ASL Dictionary - Franklin Byrom
Australian Sign Language (Auslan)_ An introduction to sign language linguistics 	 419.94  	 Language/Linguistics/Sign languages/Australian Sign Language (Auslan)_ An Introduction To Sign Language Linguistics - Trevor A. Johnston, Adam Schembri
Authority 	 223.2  	 Religion/The Bible/Poetic books of Old Testament/The Psalms Of David In Meeter - Church of Scotland. [Other], Church of Scotland [Other]
Babylonian-TY 	 492.182421  	 Language/Other languages/Afro-Asiatic languages; Semitic languages/Complete Babylonian - Martin Worthington
Bangla Academy English-Bengali Dictionary 	 423.9144  	 Language/English & Old English languages/English dictionaries/Bangla Academy English-Bengali Dictionary - Bāṃlā Ekāḍemī (Bangladesh), Jahangir Tareque, Jillura Rahamāna Siddikī, Zillur Rahman Siddiqui
BSL 	 419.41  	 Language/Linguistics/Sign languages/British Sign Language For Dummies - England) City Lit Centre for the Deaf (London
Cebuano for Beginners 	 499.21  	 Language/Other languages/Austronesian & other languages/Cebuano For Beginners, - Elsa Paula Yap
Cheat Sheet 	 006.6869  	 Computer science, information & general works/Computer science, knowledge & systems/Special computer methods/Microsoft PowerPoint 2000 MOUS Cheat Sheet - Doug Klippert
Coast Tsimshian Language) 	 497.4  	 Language/Other languages/North American native languages/A Practical Dictionary Of The Coast Tsimshian Language - John Asher Dunn
Concise English-Tigrinya dictionary 	 423.928  	 Language/English & Old English languages/English dictionaries/Concise English-Tigrinya Dictionary - Tuquabo Aressi
Coreano básico 	 495.73461  	 Language/Other languages/Languages of East & Southeast Asia/El Coreano Basico - In-sug Bag
Corpus Linguistics 	 410.285  	 Language/Linguistics/Linguistics/Corpus Linguistics And The Description Of English - Magnus Levin, Hans Lindquist
Diccionario chontal de Tabasco 	 497.415  	 Language/Other languages/North American native languages/Diccionario Chontal De Tabasco - Kathryn C. Keller, Plácido Luciano G.
Discovering Albanian I Textbook 	 491.99182421  	 Language/Other languages/East Indo-European & Celtic languages/Discovering Albanian I Textbook - Héctor Campos, Linda Mëniku
Dyirbal Language of North Queensland (Dixon) 	 499.15  	 Language/Other languages/Austronesian & other languages/The Dyirbal Language Of North Queensland - Robert M. W Dixon
El Coreano Basico 	 495.73461  	 Language/Other languages/Languages of East & Southeast Asia/El Coreano Basico - In-sug Bag
epdf.pub_haitian-creole-phrasebook-essential-expressions-fo 	 447.97294  	 Language/French & related languages/French language variations/Haitian Creole Phrasebook_ Essential Expressions For Communicating In Haiti - Jowel C. Laguerre, Cécile Accilien
Ewha Korean 1-1 	 411.86 : Language/Linguistics/Writing systems/Ihwa Han'Gugŏ_ Ewha Korean,  	 3-2 =. English Version -
