Abhijnana Sakuntalam 	 891.22  	 Literature/Other literatures/East Indo-European & Celtic literatures/The Recognition Of Shakúntala - Kālidāsa, M. B. 1904-2005 Emeneau, Rabindranath Tagore, Somadeva Vasudeva
A History of Old Norse Poetry and Poetics 	 839.61009  	 Literature/German & related literatures/Other Germanic literatures/A History Of Old Norse Poetry And Poetics - Margaret Clunies Ross
A Little Larger Than the Entire Universe 	 861.141  	 Literature/Spanish & Portuguese literatures/Spanish poetry/A Little Larger Than The Entire Universe_ Selected Poems - Fernando Pessoa, Richard Zenith
Anukul 	 922.94  	 History & geography/Biography & genealogy/Optional/Ocean In A Teacup;_ The Story Of Sree Sree Thakur Anukul Chandra, - Ray A. Hauserman
A series of Unfortunate Events - 2 	 813.6 : Literature/American literature in English/American fiction in English/The Reptile Room_ A Series Of Unfortunate Events 	 #2 - Lemony Snicket
A series of Unfortunate Events - 3 	 813.54  	 Literature/American literature in English/American fiction in English/A Series Of Unfortunate Events_ Book The Third.,. The Wide Window - Lemony Snicket
A series of Unfortunate Events - 4 	 813.54  	 Literature/American literature in English/American fiction in English/A Series Of Unfortunate Events,_ 4. The Miserable Mill - Lemony Snicket
A Thousand Yearnings 	 891.43909  	 Literature/Other literatures/East Indo-European & Celtic literatures/A Thousand Yearnings_ A Book Of Urdu Poetry And Verse -
A Worldly Country 	 811.54  	 Literature/American literature in English/American poetry in English/A Worldly Country_ New Poems - John Ashbery
Beautiful Boy 	 362.299  	 Social sciences/Social problems & social services/Social welfare problems & services/Beautiful Boy_ A Father'S Journey Through His Son'S Addiction - David Sheff
Book of Blues 	 781.6430922  	 Arts & recreation/Music/General principles & musical forms/The Big Book Of Blues_ A Biographical Encyclopedia - Robert Santelli
Bram Stoker - Dracula 	 823.8  	 Literature/English & Old English literatures/English fiction/Bram Stoker, Dracula And The Victorian Gothic Stage - Catherine Wynne
City of Joy 	 954.14  	 History & geography/History of Asia/South Asia; India/The City Of Joy - Dominique Lapierre
Collected Poems of Ezra Pound 	 811.5  	 Literature/American literature in English/American poetry in English/Personae_ The Collected Poems Of Ezra Pound, Including Ripostes, Lustra, Homage To Sextus Propertius, H.S. Mauberley - Ezra Pound
Complete Poems and Selected Letters of John Keats 	 821.7  	 Literature/English & Old English literatures/English poetry/Complete Poems And Selected Letters Of John Keats - John Keats
Complete Poems of Robert Frost 	 811  	 Literature/American literature in English/American poetry in English/Complete Poems Of Robert Frost - Robert Frost
Complete Works of Edgar Allan Poe 	 818.309  	 Literature/American literature in English/American miscellaneous writings/The Complete Works Of Edgar Allan Poe; - James Albert Harrison, Edgar Allan Poe
